index,disease_name,supplement name,supplement image,buy link,price
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://katyayanikrishidirect.com/cdn/shop/files/Boost.webp?v=1765527103&width=713,https://agribegri.com/products/buy-propiconazole--25-ec-systematic-fungicide-online-.php,314
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://cdn.shopify.com/s/files/1/0722/2059/files/infinite-magic-fungix-bio-fungicide-file-20936.jpg?v=1747135790&width=640&format=webp,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php,475
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://www.katyayaniorganics.com/wp-content/uploads/2022/06/400gm_13.jpg,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php,620
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://agribegri.com/products/tapti-booster-500-ml--organic-fertilizer-online-in-india.php,906
4,Background_without_leaves,,,,697
5,Blueberry___healthy,GreenStix Fertilizer,https://lazygardener.com/cdn/shop/products/greenstix-all-purpose-plant-food-sticks-fertilizer-sticks-plant-food-sticks-lazygardener-821257.jpg?v=1695147465,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign,315
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://agribegri.com/_next/image?url=https%3A%2F%2Fdujjhct8zer0r.cloudfront.net%2Fmedia%2Fprod_image%2F0bcd9bcaa893de4a9e2d2ee90e1f8c4b-05-13-19-16-37-23.webp&w=640&q=90,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php,610
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://m.media-amazon.com/images/I/81vr+YxVxeL._SX679_.jpg,https://plantic.in/products/organic-bloomdrop,337
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://m.media-amazon.com/images/I/41PPz83fXAL._AC_UL480_FMwebp_QL65_.jpg,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,546
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://m.media-amazon.com/images/I/71uh1031MxL._AC_UL480_FMwebp_QL65_.jpg,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php,314
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://www.katyayaniorganics.com/wp-content/uploads/2022/06/Samartha-scaled.webp,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php,874
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://m.media-amazon.com/images/I/819w2eSYf6L._SY879_.jpg,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc,659
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://www.cart2india.com/beneficial-insects/southern-ag-captan-50-wp-fungicide-8-oz/00000000004336428163,644
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://cdn.shopify.com/s/files/1/0722/2059/files/aliette-file-663.webp?v=1737471492&width=640&format=webp,https://farmagritech.com/product/aliette-fungicide/?attribute_pa_size=100gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=2578,1042
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://www.bestagrolife.com/img/sulu.webp,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php,789
